IPCA	SELIC	PIB	        EXPC	META	NINDC		
6.01	11.17	3979575.5	5.61	4.5	0.289658713		
6.3	11.62	4015980.1	5.61	4.5	0.291975982		
6.51	11.74	4058127.9	4.86	4.5	0.294282593		
6.55	11.92	4108533.5	4.88	4.5	0.296548569		
6.71	12.1	4158546.8	4.74	4.5	0.297942347		
6.87	12.25	4199407.4	5.35	4.5	0.29838926		
7.23	12.42	4242188.0	5.47	4.5	0.298866683		
7.31	11.91	4272945.8	5.8	4.5	0.29997249		
6.97	11.7	4306822.5	5.56	4.5	0.301562344		
6.64	11.4	4340097.9	5.53	4.5	0.302859062		
6.5	10.9	4376382.0	5.35	4.5	0.304433929		
6.22	10.7	4410804.5	5.3	4.5	0.305956099		
5.85	10.4	4443541.7	5.26	4.5	0.307669453		
5.24	9.82	4489330.1	5.43	4.5	0.309053966		
5.1	9.35	4522659.0	5.57	4.5	0.309702979		
4.99	8.87	4557322.6	5.52	4.5	0.311685078		
4.92	8.39	4585748.1	5.38	4.5	0.312807144		
5.2	8.07	4627801.2	5.58	4.5	0.31305739		
5.24	7.85	4671523.0	5.68	4.5	0.314403537		
5.28	7.39	4703862.8	5.64	4.5	0.315692591		
5.45	7.23	4748427.5	5.47	4.5	0.317492039		
5.53	7.14	4782967.9	5.36	4.5	0.319365242		
5.84	7.16	4814760.0	5.63	4.5	0.321281434		
6.15	7.11	4861585.7	5.7	4.5	0.323819557		
6.31	7.12	4892830.5	5.5	4.5	0.326604405		
6.59	7.15	4926881.4	5.53	4.5	0.328564031		
6.49	7.26	4983739.5	5.56	4.5	0.330108282		
6.5	7.42	5022317.4	5.62	4.5	0.331923878		
6.7	7.9	5066319.1	5.74	4.5	0.333151996		
6.27	8.23	5110505.3	5.66	4.5	0.334018192		
6.09	8.45	5143998.6	6.06	4.5	0.334118397		
5.86	8.9	5189998.1	6.16	4.5	0.334920281		
5.84	9.25	5235116.9	6.25	4.5	0.336092502		
5.77	9.45	5278940.7	6.14	4.5	0.338008229		
5.91	9.9	5331619.0	6.11	4.5	0.339833474		
5.59	10.17	5377621.7	6.02	4.5	0.342959942		
5.68	10.43	5434673.5	6.17	4.5	0.344846221		
6.15	10.65	5476093.2	6.42	4.5	0.34722566		
6.28	10.87	5512988.4	6.22	4.5	0.350420136		
6.37	10.9	5554029.0	6.03	4.5	0.352767951		
6.52	10.9	5575899.7	6.01	4.5	0.354390684		
6.5	10.9	5606609.3	5.95	4.5	0.355808247		
6.51	10.9	5638264.0	6.15	4.5	0.355843828		
6.75	10.9	5683883.4	6.33	4.5	0.356733437		
6.59	10.92	5718125.6	6.41	4.5	0.358766818		
6.56	11.15	5747796.2	6.56	4.5	0.360273638		
